Бесы,Фёдор Достоевский,https://img4.labirint.ru/rc/68cf507dc24befa6b5a3b410bc81bbd8/363x561q80/books61/602120/cover.png?1575448342,https://www.labirint.ru/books/602120/
Граф Монте-Кристо,Александр Дюма,https://img3.labirint.ru/rc/4e9d9844e46a0ea0dd2eba55909c2d47/363x561q80/books83/822897/cover.jpg?1632399920,https://www.labirint.ru/books/822897/
Человек-амфибия,Александр Беляев,https://img3.labirint.ru/rc/16191e240e37dfe0db03f8d702f9f34f/363x561q80/books64/630423/cover.jpg?1564076643,https://www.labirint.ru/books/630423/
Отцы и дети,Иван Тургенев,https://img4.labirint.ru/rc/a66be0b01b6c7cde299bd8ff0c794c73/363x561q80/books64/630372/cover.png?1575394130,https://www.labirint.ru/books/630372/
Доктор Живаго,Борис Пастернак,https://img4.labirint.ru/rc/ea2426bc54bc06f4d2db961251fa3433/363x561q80/books60/597252/cover.png?1575448182,https://www.labirint.ru/books/597252/
Воскресение,Лев Толстой,https://img4.labirint.ru/rc/13e4d07af2e576568e69fd36379772ae/363x561q80/books63/620394/cover.png?1575390313,https://www.labirint.ru/books/620394/
Вечера на хуторе близ Диканьки,Николай Гоголь,https://img3.labirint.ru/rc/5b8e46b9855d1de728564e67615c81df/363x561q80/books85/840991/cover.png?1649690707,https://www.labirint.ru/books/840991/
Униженные и оскорблённые,Фёдор Достоевский,https://img4.labirint.ru/rc/298f94d734564969524c1d10bee7a016/363x561q80/books64/631688/cover.png?1575394176,https://www.labirint.ru/books/631688/
1984 ,Джордж Оруэлл,https://img4.labirint.ru/rc/95b18bd674e3077442d0f3e7ad53f957/363x561q80/books80/790566/cover.png?1618316737,https://www.labirint.ru/books/790566/
Скотный Двор ,Джордж Оруэлл,https://img3.labirint.ru/rc/e9a2e7bcc61047f4b627f4be0d9a3f67/363x561q80/books80/792215/cover.png?1626449264,https://www.labirint.ru/books/792215/
Капитанская дочка,Александр Пушкин,https://img4.labirint.ru/rc/b0d39a1627e8d68938bb3be1427ac8fd/363x561q80/books84/835470/cover.png?1645100710,https://www.labirint.ru/books/835470/
Дубровский,Александр Пушкин,https://img4.labirint.ru/rc/d8f06d5921efe7ef4b09bf82bc409a0e/363x561q80/books58/576358/cover.png?1575455301,https://www.labirint.ru/books/576358/
